type,Price(EGP),listing type,rent period,location,Area(m2),bedrooms,Bathrooms,Down payment,Instalment,post link,Full Descrption
Apartment,"7,700,000",buy,N/A,"Rehab City, New Cairo, Cairo",183,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503432047.html,"Apartment for sale in Al-Rehab, 183 square meters at a commercial price, direct from the owner."
Chalet,"17,000,000",buy,N/A,"Marsa Baghush, North Coast, Matruh",170,3,3,"EGP 1,700,000",N/A,https://www.bayut.eg/en/property/details-503432043.html,Chalet for sale before the summer season. The chalet is in Mersa Bagoush and is directly on the Crystal Lagoon.
Apartment,"3,500,000",buy,N/A,"Sarai, Mostakbal City, Cairo",100,2,1,N/A,N/A,https://www.bayut.eg/en/property/details-503431996.html,"Sarai S2 Apartment Third Floor Bua 100 M² 2 Bedrooms 1 Bathroom Delivery 6/2026 Core and shell Price 3,500,000"
Chalet,"10,000,000",buy,N/A,"Fouka Bay, North Coast, Matruh",99,2,2,N/A,N/A,https://www.bayut.eg/en/property/details-503431985.html,"Chalet for sale, resale, ready for immediate occupancy, fully finished in Fouka Bay, North Coast"
Villa,"24,000,000",buy,N/A,"Saada Compound, 1st Settlement, New Cairo, Cairo",529,6,6,N/A,N/A,https://www.bayut.eg/en/property/details-503431946.html,"Exclusive villa 6 Bedrooms Prime Location With Installment,Mivida,5thSettlement,Fifth Setlement,Villette,New Cairo,Saada,City Gate"
Chalet,"20,500,000",buy,N/A,"June Sodic, Ras Al Hekma, North Coast, Matruh",185,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503431926.html,Fully finished chalet for sale in june SODIC Ready for Viewing Anytime with best discount  • Unit Type: Chalet • Built-up Area: 185 m² • Location: June SODIC – North Coast • Status: Ready for viewing anytime  Project Features:  Prime location in the heart
Chalet,"19,840,000",buy,N/A,"La Vista Cascada, Alamein, North Coast, Matruh",185,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503431854.html,Fully finished Chalet fo sale in sidi abdelrahman last unit available right now in lavista cascada ready to move and for viewing with best discount for serious inquiries  – Perfect for Investment or Vacation Living  Unit Type: Chalet  Bedrooms: 3  Loca
Penthouse,"8,800,000",buy,N/A,"Stone Residence Compound, Katameya, Cairo",220,4,4,N/A,N/A,https://www.bayut.eg/en/property/details-503431582.html,Penthouse in ‘Stone Residence’ PRE Bua 220 M² 4 Bedrooms 4 Bathrooms Semi Finished Ready to Move
Chalet,"16,500,000",buy,N/A,"Azha, Ras Al Hekma, North Coast, Matruh",109,2,2,N/A,N/A,https://www.bayut.eg/en/property/details-503431580.html,"Chalet with a sea view, first description on the lagoon, finished with air conditioning, for sale in Azha, Ras El Hikma."
Apartment,"3,600,000",buy,N/A,"Shorouk City, Cairo",133,3,1,N/A,N/A,https://www.bayut.eg/en/property/details-503431547.html,Fully Finished Super Lux Apt 133m Ready to Move in Sakan Misr Shorouk City
Apartment,"16,587,000",buy,N/A,"ZED West Compound, Sheikh Zayed, Giza",130,2,2,0% Down Payment,N/A,https://www.bayut.eg/en/property/details-503431537.html,Unmissable serviced apartment with high-end finishing+ACs overlooking Zed park with 0% downpayment over 10 years plan! For limited time offer
Hotel Apartment,"7,000,000",buy,N/A,"Madinaty, Cairo",131,3,2,N/A,N/A,https://www.bayut.eg/en/property/details-503431474.html,Apartment for sale in Madinaty b6 – prime location + immediate delivery and at a competitive price
Chalet,"13,500,000",buy,N/A,"Fouka Bay, North Coast, Matruh",120,2,2,N/A,N/A,https://www.bayut.eg/en/property/details-503431400.html,Sea & Pool View Fully furnished ground chalet with garden for sale in Fouka bay North coast
Chalet,"12,800,000",buy,N/A,"Soma Bay, Red Sea",110,2,2,"EGP 640,000","EGP 50,000 monthly / 8 years",https://www.bayut.eg/en/property/details-503431149.html,2BR Chalet Prime Opportunity Double View in Soma Bay | Best Price 5% DP
Apartment,"5,500,000",buy,N/A,"Sheraton, Cairo",103,2,2,N/A,N/A,https://www.bayut.eg/en/property/details-503431128.html,Apartment for Sale 103 sqm Near City Center Almaza | 2 Bedrooms | Super Lux
Villa,"11,772,000",buy,N/A,"New Mansoura, Dakahlia",360,4,4,"EGP 600,000","EGP 176,200 monthly / 5 years",https://www.bayut.eg/en/property/details-503431001.html,"Villa available for immediate delivery with a down payment of 600,000 and installments over 5 years."
Townhouse,"33,000,000",buy,N/A,"Mivida Compound, 5th Settlement, New Cairo, Cairo",280,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503430904.html,Very prime location fully finished Ready to move Town house for sale in Mivida compound fifth settlement new cairo
Apartment,"8,000,000",buy,N/A,"Rehab City, New Cairo, Cairo",136,3,3,N/A,N/A,https://www.bayut.eg/en/property/details-503430849.html,Apartment for sale great price fully furnished with private garden 60 sqm ready to move in garden view easy viewings 136 sqm in Al Rehab 1 - Phase 2
Apartment,"3,900,000",buy,N/A,"Badya Palm Hills Compound, 6th of October, Giza",65,1,1,N/A,N/A,https://www.bayut.eg/en/property/details-503430813.html,apartment with prime location |12Y PAYMENT PLAN
Penthouse,"11,800,000",buy,N/A,"Makadi Heights, Hurghada, Red Sea",120,3,3,"EGP 1,180,000","EGP 130,000 monthly / 7 years",https://www.bayut.eg/en/property/details-503430739.html,Others are paying installments on walls. Yours has a view
Villa,"43,000,000",buy,N/A,"Amwaj, Sidi Abdel Rahman, North Coast, Matruh",275,4,5,N/A,N/A,https://www.bayut.eg/en/property/details-503430674.html,Standalone Villa First Row on the Sea for Sale in Amwaj | Direct Panoramic Sea View + Pool View | Fully Furnished & Ready to Move
Villa,"14,000,000",buy,N/A,"Cleopatra Palace, Shorouk City, Cairo",625,6,6,N/A,N/A,https://www.bayut.eg/en/property/details-503430661.html,"Private villa with immediate delivery, area of 625 meters, a residential compound with all services, only villas directly on the Cairo-Suez Road and Ain Sokhna, Madinaty."
Chalet,"5,750,000",buy,N/A,"Alura, Sidi Abdel Rahman, North Coast, Matruh",162,3,2,"EGP 2,656,960",N/A,https://www.bayut.eg/en/property/details-503430605.html,"At the opening price and you won't hear it again, a chalet with Hany Saad finishing, for sale in Alora - next to Marassi."
Apartment,"16,000,000",buy,N/A,"Hyde Park New Cairo Compound, 5th Settlement, New Cairo, Cairo",178,3,3,"EGP 800,000","EGP 30,000 monthly / 8 years",https://www.bayut.eg/en/property/details-503430604.html,Best location in Hyde Park New Cairo Near Delivery Apartment with installments over 8years.
Villa,"75,000,000",buy,N/A,"Madinaty, Cairo",650,4,5,N/A,N/A,https://www.bayut.eg/en/property/details-503430576.html,"In my city, a 4-bedroom ultra super lux villa for sale in VG2 with wide garden view next to Four Seasons and minutes to Citystars Mall madinaty."
