source,property_id,title,compound,area,developer,property_type,bedrooms,bathrooms,size_sqm,finishing,ready_by,min_price,currency,min_down_payment,installment_percentage,installment_type,listing_type,location,latitude,longitude,url,photo_url
propertyfinder,880a9b2c-ab7b-40fd-b575-5e242b733b10,Park Valley Zayad 13,Park Valley Zayad 13,"Giza,Sheikh Zayed City,New Zayed City",EFID Developments,"villa, townhouse",3,,,,2029-12-31T08:28:37.562Z,6600000,EGP,10.0,,,buy,"Giza,Sheikh Zayed City,New Zayed City",30.112012,30.74764,https://www.propertyfinder.eg/en/new-projects/efid-developments/park-valley-zayad-13,https://new-projects-media.propertyfinder.com/project/880a9b2c-ab7b-40fd-b575-5e242b733b10/gallery/image/-fSLWC4JmvjLXNg0toOEL0rgRo4Ltmqmpe7Z-rmdxvc=/medium.webp
propertyfinder,202779fe-a2c8-40dd-8fdb-960262578d16,Porto Grande,Porto Grande,"North Coast,Al Alamein,New Alamein City",Amer Group company,apartment,1,,,,2028-12-31T09:55:28.232Z,1492400,EGP,5.0,,,buy,"North Coast,Al Alamein,New Alamein City",0.0,0.0,https://www.propertyfinder.eg/en/new-projects/amer-group-company/porto-grande,https://new-projects-media.propertyfinder.com/project/202779fe-a2c8-40dd-8fdb-960262578d16/gallery/image/ZKwQMwHrYADGPH_Y7WdWxpBiN_VmBu3sHBR-BgRr3UA=/medium.webp
propertyfinder,6f94f94b-9809-4220-9620-aa5688b81f76,Makadina,Makadina,"Red Sea,Hurghada,Makadi",Travco Properties,"villa, townhouse, apartment","1, 2, 3, 4",,,,2030-12-31T11:12:17.113Z,7400000,EGP,10.0,,,buy,"Red Sea,Hurghada,Makadi",26.992593,33.896387,https://www.propertyfinder.eg/en/new-projects/travco-properties/makadina,https://new-projects-media.propertyfinder.com/project/6f94f94b-9809-4220-9620-aa5688b81f76/gallery/image/H91fnXLfT7V2wwd6uHEoNqiYk70XKuqm5-HUgejokiM=/medium.webp
propertyfinder,7a9e6fe7-df69-4c4b-81b8-2dab5a1edd29,Etala,Etala,"Giza,6 October City,Hadayek October,Etala",El-Manara Developments,apartment,3,,,,2029-12-31T12:28:03.024Z,2781756,EGP,10.0,,,buy,"Giza,6 October City,Hadayek October,Etala",29.90665333024,31.0559099738,https://www.propertyfinder.eg/en/new-projects/el-manara-developments/etala,https://new-projects-media.propertyfinder.com/project/7a9e6fe7-df69-4c4b-81b8-2dab5a1edd29/gallery/image/dI2wQXuJG-SOBnU3LejMMwca3mc4U5JBWOhykuhxfW8=/medium.webp
propertyfinder,f636f42c-80bf-4e90-a1f2-a9444fb4d32d,Mayan,Mayan,"Cairo,New Cairo City",STM Developments,apartment,"2, 3",,,,2027-12-31T07:22:11.85Z,6370000,EGP,10.0,,,buy,"Cairo,New Cairo City",30.04074712,31.47093773,https://www.propertyfinder.eg/en/new-projects/stm-developments/mayan,https://new-projects-media.propertyfinder.com/project/f636f42c-80bf-4e90-a1f2-a9444fb4d32d/gallery/image/wsJ5Fkd0WOWzJnJcBR2k6fmcucQQk5Om7_Iyv-0hYQc=/medium.webp
propertyfinder,d6a9f4c4-2c0d-4f81-aed6-4e70e796b67f,Q Bay,Q Bay,"Matrouh,Al Alamen",Q Developments,"apartment, townhouse, villa","1, 2, 3, 4, 5",,,,2029-12-31T00:54:30.425Z,4800000,EGP,10.0,,,buy,"Matrouh,Al Alamen",30.82260206,28.95548701,https://www.propertyfinder.eg/en/new-projects/q-developments/q-bay,https://new-projects-media.propertyfinder.com/project/d6a9f4c4-2c0d-4f81-aed6-4e70e796b67f/gallery/image/GFy_edGqgYHhGvtPvUOW-_GoGJMjn8bFFYpxuEIpXuk=/medium.webp
propertyfinder,a5194059-2a34-41ea-8793-a79fe4bc5d0d,Park Valley Lake,Park Valley Lake,"Giza,6 October City",EFID Developments,villa,4,,,,2029-12-31T17:03:11.52Z,5250000,EGP,5.0,,,buy,"Giza,6 October City",29.95790912,30.91575801,https://www.propertyfinder.eg/en/new-projects/efid-developments/park-valley-lake,https://new-projects-media.propertyfinder.com/project/a5194059-2a34-41ea-8793-a79fe4bc5d0d/gallery/image/V3VCnOJzI-2PNPDBkRq-bFIyv-bS8uVlnmPEYGZZsig=/medium.webp
propertyfinder,d2483468-f1c9-4bbb-937b-132ed4db9e2e,IL Monte Galala Marina Towers,IL Monte Galala Marina Towers,"Suez,Al Ain Al Sokhna,IL Monte Galala",Tatweer Misr,"apartment, penthouse","0, 1, 2, 3",,,,2030-12-31T18:39:07.066Z,8000000,EGP,10.0,,,buy,"Suez,Al Ain Al Sokhna,IL Monte Galala",29.503795,32.410919,https://www.propertyfinder.eg/en/new-projects/tatweer-misr/marina-towers,https://new-projects-media.propertyfinder.com/project/d2483468-f1c9-4bbb-937b-132ed4db9e2e/gallery/image/AYuvz_NYyes6rW9VTWDxDrMXP57O4r7NUz3ZX-ccrAM=/medium.webp
propertyfinder,3efd76e0-1cec-4929-89ce-6d97f9a97502,Canal Walk Residence,Canal Walk Residence,"Giza,Sheikh Zayed City",Arkan Palm Development,"apartment, penthouse","1, 2, 3, 4, 5",,,,,17765000,EGP,5.0,,,buy,"Giza,Sheikh Zayed City",30.04056643,30.99054337,https://www.propertyfinder.eg/en/new-projects/arkan-palm-development/canal-walk-residence,https://new-projects-media.propertyfinder.com/project/3efd76e0-1cec-4929-89ce-6d97f9a97502/gallery/image/SktLVE1y_kCuDfSyDSCyKAggow2kMV4yEspi7zjSjto=/medium.webp
propertyfinder,6e696ad7-a313-4cbc-b8b7-673cc5ed2e9d,Alveo - Noi,Alveo - Noi,"Cairo,New Cairo City,The 5th Settlement,5th Settlement Compounds,NOI Residence",Urban Developments,,,,,,,5500000,EGP,,,,buy,"Cairo,New Cairo City,The 5th Settlement,5th Settlement Compounds,NOI Residence",30.0240025892,31.5188641,https://www.propertyfinder.eg/en/new-projects/urban-developments/alveo-noi,https://new-projects-media.propertyfinder.com/project/6e696ad7-a313-4cbc-b8b7-673cc5ed2e9d/gallery/image/AWMkfDjs4JU3IjdYTwWv3Db_KBvhBM89W1i04a0pUL8=/medium.webp
